Date,BCOMHG,BCOMNI,BCOMCL
2023-12-01,3.9205,16903.28,74.25
2023-12-04,3.826,16646.28,73.32
2023-12-05,3.776,16245.78,72.53
2023-12-06,3.726,16172.28,69.65
2023-12-07,3.79,16599.78,69.59
2023-12-08,3.824,16755.03,71.44
2023-12-11,3.778,16519.03,71.56
2023-12-12,3.7865,16469.53,68.85
2023-12-13,3.785,16364.53,69.72
2023-12-14,3.89,16924.03,71.91
2023-12-15,3.8875,17022.78,71.78
2023-12-18,3.849,16420.53,72.82
2023-12-19,3.8945,16639.53,73.94
2023-12-20,3.9025,16758.03,74.45
2023-12-21,3.9105,16821.53,74.06
2023-12-22,3.8975,16568.53,73.73
2023-12-27,3.953,16862.53,74.34
2023-12-28,3.9245,16647.28,71.97
2023-12-29,3.8905,16618.78,71.84
2024-01-02,3.8805,16512.53,70.62
2024-01-03,3.8615,16373.03,72.89
2024-01-04,3.844,16081.78,72.36
2024-01-05,3.806,16292.53,73.86
2024-01-08,3.81,16206.03,70.92
2024-01-09,3.7585,16173.53,72.29
2024-01-10,3.781,16349.78,71.44
2024-01-11,3.7765,16399.03,72.09
2024-01-12,3.7405,16258.28,72.79
2024-01-15,3.7782,16115.53,72.79
2024-01-16,3.7665,16175.28,72.52
2024-01-17,3.733,16045.03,72.48
2024-01-18,3.745,16109.28,73.95
2024-01-19,3.7865,15997.28,73.25
2024-01-22,3.7635,15973.53,74.76
2024-01-23,3.7935,16241.28,74.27
2024-01-24,3.886,16629.03,74.98
2024-01-25,3.869,16718.28,77.19
2024-01-26,3.852,16543.78,77.86
2024-01-29,3.879,16408.03,76.67
2024-01-30,3.9215,16461.53,77.65
2024-01-31,3.917,16215.53,75.71
2024-02-01,3.8665,16190.53,73.79
2024-02-02,3.836,16187.78,72.3
2024-02-05,3.788,15884.53,72.85
2024-02-06,3.7965,15850.78,73.37
2024-02-07,3.7505,15920.53,73.91
2024-02-08,3.7145,16059.03,76.19
2024-02-09,3.6925,15878.53,76.77
2024-02-12,3.7335,16008.78,76.82
2024-02-13,3.718,16222.53,77.56
2024-02-14,3.7075,16272.53,76.36
2024-02-15,3.7635,16177.78,77.59
2024-02-16,3.8435,16320.03,78.46
2024-02-19,3.811,16318.78,78.11
2024-02-20,3.87,16411.53,77.04
2024-02-21,3.8805,16769.78,77.31
2024-02-22,3.9065,17344.78,77.93
2024-02-23,3.891,17498.03,76.08
2024-02-26,3.8255,17043.28,77.09
2024-02-27,3.841,17488.78,78.23
2024-02-28,3.8405,17655.78,77.83
2024-02-29,3.847,17823.78,77.45
2024-03-01,3.8615,17716.53,79.09
2024-03-04,3.857,17878.03,78.17
2024-03-05,3.847,17601.03,77.41
2024-03-06,3.875,17553.03,78.41
2024-03-07,3.926,17835.53,78.32
2024-03-08,3.8915,17984.78,77.5
2024-03-11,3.9285,18331.78,77.53
2024-03-12,3.932,18505.28,77.25
2024-03-13,4.06,18317.53,79.3
2024-03-14,4.0455,18108.28,80.74
2024-03-15,4.1245,17929.28,80.58
2024-03-18,4.13,17871.28,82.16
2024-03-19,4.0745,17399.28,82.73
2024-03-20,4.0515,17555.53,81.27
2024-03-21,4.0585,17523.03,80.64
2024-03-22,4.0075,17183.78,80.17
2024-03-25,4.016,16982.53,81.38
2024-03-26,4.0085,16683.53,81.04
2024-03-27,4.0175,16641.78,80.78
2024-03-28,4.025,16698.03,82.42
2024-04-02,4.089,16980.03,84.22
2024-04-03,4.211,17264.03,84.61
2024-04-04,4.266,17596.53,85.81
2024-04-05,4.253,17696.53,86.1
2024-04-08,4.288,17754.78,85.53
2024-04-09,4.295,18217.53,84.46
2024-04-10,4.289,18432.53,85.44
2024-04-11,4.2665,17685.78,84.45
2024-04-12,4.276,17672.53,85.08
2024-04-15,4.3925,17901.53,84.86
2024-04-16,4.3205,17722.53,84.83
2024-04-17,4.352,18061.28,82.15
2024-04-18,4.4535,18451.28,82.1
