"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"07/04/2025","14.452,63","13.942,75","14.856,50","13.820,75","","-1,52%"
"04/04/2025","14.676,25","15.668,00","15.714,75","14.633,88","","-6,65%"
"03/04/2025","15.721,50","15.855,00","15.898,00","15.681,00","","-1,36%"
"02/04/2025","15.937,75","16.149,63","16.153,00","15.936,38","","-0,76%"
"01/04/2025","16.059,25","15.926,63","16.183,63","15.918,63","","1,09%"
"31/03/2025","15.885,50","16.280,13","16.381,63","15.880,38","","-3,11%"
"28/03/2025","16.395,00","16.235,50","16.453,13","16.228,13","","1,11%"
"27/03/2025","16.214,38","16.158,13","16.299,63","16.087,13","","-0,10%"
"26/03/2025","16.230,75","16.158,63","16.287,88","16.002,38","","0,00%"
"25/03/2025","16.230,00","15.935,13","16.254,13","15.935,13","","1,44%"
"24/03/2025","16.000,38","16.062,50","16.212,75","15.979,75","","-0,67%"
"21/03/2025","16.108,00","16.196,13","16.293,00","16.025,63","","-1,02%"
"20/03/2025","16.273,75","16.384,00","16.406,00","16.039,50","","-0,59%"
"19/03/2025","16.371,00","16.194,88","16.588,13","16.194,88","","0,83%"
"18/03/2025","16.236,75","16.395,00","16.442,50","16.136,75","","-0,85%"
"17/03/2025","16.375,38","16.564,25","16.658,63","16.292,63","","-0,88%"
"14/03/2025","16.520,13","16.402,75","16.752,63","16.402,75","","0,49%"
"13/03/2025","16.438,88","16.658,25","16.675,75","16.340,63","","-1,17%"
"12/03/2025","16.632,75","16.459,25","16.735,38","16.418,75","","0,90%"
"11/03/2025","16.484,13","16.417,25","16.565,00","16.324,25","","0,34%"
"10/03/2025","16.428,50","16.407,25","16.679,25","16.378,00","","0,17%"
"07/03/2025","16.401,38","16.222,75","16.553,38","16.155,00","","0,96%"
"06/03/2025","16.244,88","15.878,50","16.306,13","15.873,75","","2,50%"
"05/03/2025","15.848,38","15.908,38","16.133,13","15.785,38","","-0,61%"
"04/03/2025","15.945,63","15.870,75","16.031,63","15.719,13","","0,20%"
"03/03/2025","15.914,13","15.539,25","16.015,13","15.520,75","","2,92%"
"28/02/2025","15.461,88","15.797,50","15.832,00","15.407,13","","-2,10%"
"27/02/2025","15.792,75","15.523,38","15.902,38","15.521,25","","1,46%"
"26/02/2025","15.565,63","15.306,75","15.645,88","15.306,75","","1,49%"
"25/02/2025","15.336,63","15.321,50","15.410,75","15.265,38","","-0,50%"
"24/02/2025","15.413,38","15.460,00","15.658,50","15.404,75","","-0,52%"
"21/02/2025","15.493,63","15.621,50","15.641,00","15.396,38","","-0,83%"
"20/02/2025","15.622,63","15.416,00","15.697,88","15.396,25","","1,31%"
"19/02/2025","15.420,13","15.309,50","15.426,13","15.255,88","","0,42%"
"18/02/2025","15.355,63","15.452,50","15.497,25","15.282,13","","-0,90%"
"17/02/2025","15.495,13","15.424,25","15.509,13","15.362,13","","0,05%"
"14/02/2025","15.487,63","15.460,50","15.573,63","15.424,88","","0,67%"
"13/02/2025","15.383,88","15.354,88","15.469,25","15.219,38","","-0,28%"
"12/02/2025","15.427,38","15.429,88","15.486,00","15.321,25","","0,96%"
"11/02/2025","15.280,00","15.388,00","15.396,00","15.230,00","","-1,16%"
"11/02/2025","15.459,88","15.272,38","15.532,13","15.249,38","","-0,45%"
"10/02/2025","15.530,00","15.768,00","15.785,00","15.442,00","","-1,33%"
"07/02/2025","15.740,00","15.765,00","15.802,00","15.653,00","","-0,49%"
"06/02/2025","15.818,00","15.737,00","15.818,00","15.652,00","","1,70%"
"05/02/2025","15.554,00","15.282,00","15.576,00","15.215,00","","1,71%"
"04/02/2025","15.293,00","15.067,00","15.311,00","15.015,00","","1,43%"
"03/02/2025","15.077,00","15.100,00","15.206,00","15.002,00","","-0,73%"
"31/01/2025","15.188,00","15.365,00","15.365,00","15.140,00","","-1,18%"
"30/01/2025","15.369,00","15.360,00","15.437,00","15.340,00","","-0,29%"
"29/01/2025","15.413,00","15.362,00","15.523,00","15.337,00","","-1,04%"
"28/01/2025","15.575,00","15.549,00","15.612,00","15.337,00","","0,15%"
"27/01/2025","15.552,00","15.620,00","15.800,00","15.493,00","","-0,02%"
"24/01/2025","15.555,00","15.702,00","15.715,00","15.540,00","","-0,44%"
"23/01/2025","15.623,00","15.552,00","15.688,00","15.532,00","","-0,72%"
"22/01/2025","15.737,00","15.870,00","15.875,00","15.653,00","","-1,88%"
"21/01/2025","16.038,00","15.996,00","16.102,00","15.965,00","","0,17%"
"20/01/2025","16.010,00","15.900,00","16.100,00","15.790,00","","-0,17%"
"17/01/2025","16.038,00","15.897,00","16.080,00","15.872,00","","0,80%"
"16/01/2025","15.910,00","15.785,00","15.947,00","15.762,00","","0,75%"
"15/01/2025","15.792,00","15.845,00","15.892,00","15.765,00","","-0,74%"
"14/01/2025","15.910,00","15.773,00","15.932,00","15.745,00","","0,35%"
"13/01/2025","15.855,00","15.655,00","15.888,00","15.653,00","","1,52%"
"10/01/2025","15.618,00","15.476,00","15.637,00","15.440,00","","0,99%"
"09/01/2025","15.465,00","15.342,00","15.475,00","15.310,00","","0,32%"
"08/01/2025","15.415,00","15.402,00","15.443,00","15.280,00","","0,23%"
"07/01/2025","15.380,00","15.155,00","15.387,50","15.152,00","","1,19%"
"06/01/2025","15.199,00","14.937,00","15.331,00","14.934,00","","0,41%"
"03/01/2025","15.137,00","15.020,00","15.137,00","14.873,00","","0,72%"
"02/01/2025","15.029,00","15.317,00","15.343,00","15.028,00","","-1,72%"
"31/12/2024","15.292,00","15.387,00","15.415,00","15.273,00","","-1,02%"
"30/12/2024","15.450,00","15.498,00","15.652,00","15.362,00","","1,00%"
"27/12/2024","15.297,00","15.329,00","15.368,00","15.183,00","","-1,02%"
"24/12/2024","15.455,00","15.450,00","15.540,00","15.410,00","","0,41%"
"23/12/2024","15.392,00","15.403,00","15.496,00","15.243,00","","0,59%"
"20/12/2024","15.302,00","15.145,00","15.337,00","15.130,00","","1,65%"
"19/12/2024","15.053,00","15.272,00","15.465,00","15.045,00","","-3,13%"
"18/12/2024","15.540,00","15.455,00","15.548,00","15.438,00","","0,37%"
"17/12/2024","15.483,00","15.557,00","15.583,00","15.467,00","","-1,02%"
"16/12/2024","15.643,00","15.765,00","15.830,00","15.643,00","","-1,20%"
"13/12/2024","15.833,00","16.160,00","16.235,00","15.759,50","","-1,95%"
"12/12/2024","16.148,00","16.145,00","16.197,00","16.088,00","","2,20%"
"11/12/2024","15.800,00","15.730,00","15.842,00","15.687,00","","0,32%"
"10/12/2024","15.750,00","15.825,00","15.840,00","15.650,00","","-1,38%"
"09/12/2024","15.970,00","16.050,00","16.067,00","15.883,00","","-0,01%"
"06/12/2024","15.971,00","15.993,00","16.095,00","15.971,00","","0,30%"
"05/12/2024","15.924,00","16.012,00","16.012,00","15.820,00","","-0,69%"
"04/12/2024","16.034,00","16.148,00","16.172,00","15.968,00","","-0,01%"
"03/12/2024","16.035,00","15.890,00","16.046,00","15.878,00","","2,01%"
"02/12/2024","15.719,00","15.825,00","15.853,00","15.620,00","","-1,50%"
"29/11/2024","15.958,00","15.996,00","16.042,00","15.848,00","","-0,74%"
"28/11/2024","16.077,00","15.980,00","16.090,00","15.963,00","","1,23%"
"27/11/2024","15.881,00","15.920,00","16.045,00","15.802,00","","-0,47%"
"26/11/2024","15.956,00","16.045,00","16.117,00","15.910,00","","-1,41%"
"25/11/2024","16.185,00","15.951,00","16.252,00","15.896,00","","2,26%"
"22/11/2024","15.827,00","15.745,00","16.003,00","15.698,00","","1,06%"
"21/11/2024","15.661,00","15.998,00","16.013,00","15.633,00","","-1,07%"
"20/11/2024","15.831,00","15.980,00","16.107,00","15.831,00","","0,39%"
"19/11/2024","15.770,00","15.833,00","15.959,00","15.743,00","","0,48%"
"18/11/2024","15.694,00","15.600,00","15.711,00","15.433,00","","1,49%"
"15/11/2024","15.463,00","15.543,00","15.830,00","15.457,00","","-1,43%"
"14/11/2024","15.688,00","15.697,00","15.730,00","15.545,00","","-0,25%"
"13/11/2024","15.727,00","15.877,00","15.913,00","15.693,00","","-1,37%"
"12/11/2024","15.945,00","15.928,00","16.079,50","15.850,00","","-0,69%"
"11/11/2024","16.055,00","16.151,00","16.243,00","16.044,50","","-1,42%"
"08/11/2024","16.287,00","16.395,00","16.490,00","16.285,00","","-1,84%"
"07/11/2024","16.593,00","16.323,00","16.593,00","16.317,00","","2,60%"
"06/11/2024","16.172,00","15.942,00","16.182,00","15.860,00","","0,29%"
"05/11/2024","16.125,00","16.166,00","16.335,00","16.066,00","","0,30%"
"04/11/2024","16.077,00","15.932,00","16.077,00","15.885,00","","0,86%"
"01/11/2024","15.940,00","15.871,00","16.122,00","15.871,00","","1,53%"
"31/10/2024","15.700,00","15.780,00","15.850,00","15.678,00","","-0,51%"
"30/10/2024","15.780,00","15.855,00","16.051,00","15.778,00","","-0,54%"
"29/10/2024","15.865,00","15.928,00","16.035,00","15.822,00","","-0,68%"
"28/10/2024","15.974,00","16.115,00","16.173,00","15.907,00","","-0,81%"
"25/10/2024","16.104,00","16.195,00","16.235,00","16.078,00","","-0,96%"
"24/10/2024","16.260,00","16.273,00","16.368,00","16.213,00","","0,17%"
"23/10/2024","16.232,00","16.212,00","16.310,00","16.118,00","","-1,41%"
"22/10/2024","16.464,00","16.587,00","16.623,00","16.275,00","","-0,99%"
"21/10/2024","16.628,00","17.092,00","17.097,00","16.605,00","","-1,79%"
"18/10/2024","16.931,00","16.930,00","17.025,00","16.802,00","","-0,47%"
"17/10/2024","17.011,00","17.010,00","17.092,00","16.836,00","","-1,85%"
"16/10/2024","17.332,00","17.268,00","17.383,00","17.218,00","","-0,44%"
"15/10/2024","17.409,00","17.362,00","17.475,00","17.283,00","","-1,33%"
"14/10/2024","17.644,00","17.647,00","17.737,00","17.442,00","","-1,22%"
"11/10/2024","17.862,00","17.565,00","17.918,00","17.565,00","","1,99%"
"10/10/2024","17.513,00","17.355,00","17.567,00","17.286,00","","0,35%"
"09/10/2024","17.452,00","17.694,00","17.758,00","17.285,00","","-1,48%"
"08/10/2024","17.715,00","17.530,00","17.780,00","17.495,00","","-1,22%"
"07/10/2024","17.933,00","17.900,00","18.188,00","17.882,00","","0,46%"
"04/10/2024","17.850,00","17.828,00","18.008,00","17.688,00","","0,30%"
"03/10/2024","17.797,00","18.228,00","18.258,00","17.481,00","","-2,14%"
"02/10/2024","18.187,00","17.853,00","18.208,00","17.805,00","","3,01%"
"01/10/2024","17.655,00","17.683,00","17.763,00","17.578,00","","1,03%"
"30/09/2024","17.475,00","17.140,00","17.544,00","17.118,00","","2,89%"
"27/09/2024","16.984,00","16.837,00","16.984,00","16.772,00","","1,32%"
"26/09/2024","16.763,00","16.785,00","16.830,00","16.628,00","","0,07%"
"25/09/2024","16.752,00","16.568,00","16.788,00","16.492,00","","0,34%"
"24/09/2024","16.695,00","16.625,00","16.717,00","16.560,00","","1,14%"
"23/09/2024","16.507,00","16.415,00","16.518,00","16.288,00","","0,49%"
"20/09/2024","16.426,00","16.398,00","16.495,00","16.390,00","","0,80%"
"19/09/2024","16.295,00","16.418,00","16.435,00","16.230,00","","0,66%"
"18/09/2024","16.188,00","16.123,00","16.293,00","16.123,00","","0,56%"
"17/09/2024","16.098,00","16.352,00","16.365,00","16.097,00","","-1,16%"
"16/09/2024","16.287,00","16.015,00","16.289,00","15.933,00","","2,52%"
"13/09/2024","15.887,00","16.057,00","16.094,00","15.878,00","","-0,87%"
"12/09/2024","16.027,00","16.098,00","16.214,00","16.013,00","","-0,23%"
"11/09/2024","16.064,00","15.928,20","16.093,10","15.769,30","","2,06%"
"06/09/2024","15.740,30","15.916,10","16.038,50","15.707,50","","-1,88%"
"05/09/2024","16.042,10","15.955,70","16.051,10","15.895,20","","-0,25%"
"04/09/2024","16.082,28","16.389,78","16.487,28","16.071,53","","-1,88%"
"03/09/2024","16.389,78","16.573,03","16.731,03","16.296,78","","-1,11%"
"02/09/2024","16.573,03","16.732,28","16.747,28","16.550,53","","-0,41%"
"30/08/2024","16.641,53","16.993,03","17.138,03","16.641,53","","-1,67%"
"29/08/2024","16.924,28","16.979,53","17.047,53","16.910,28","","0,25%"
"28/08/2024","16.882,53","17.105,53","17.118,03","16.819,03","","-1,01%"
"27/08/2024","17.055,28","16.853,53","17.147,03","16.847,78","","2,51%"
"23/08/2024","16.638,03","16.572,28","16.909,78","16.532,03","","0,91%"
"22/08/2024","16.488,28","16.857,53","16.925,03","16.472,03","","-1,63%"
"21/08/2024","16.761,03","16.873,03","17.063,78","16.759,03","","-0,07%"
"20/08/2024","16.773,53","16.719,53","17.073,28","16.535,03","","0,47%"
"19/08/2024","16.695,53","16.360,78","16.780,28","16.349,28","","2,12%"
"16/08/2024","16.348,53","16.360,28","16.418,03","16.119,28","","0,67%"
"15/08/2024","16.239,03","16.233,53","16.467,78","16.166,53","","0,63%"
"14/08/2024","16.137,03","16.406,03","16.454,78","16.132,53","","-0,99%"
"13/08/2024","16.298,53","16.346,03","16.445,53","16.168,03","","0,68%"
"12/08/2024","16.188,28","16.238,03","16.425,53","16.087,78","","-0,06%"
"09/08/2024","16.197,28","16.186,03","16.468,53","16.117,78","","0,65%"
"08/08/2024","16.093,03","16.188,53","16.245,53","16.091,28","","-0,26%"
"07/08/2024","16.134,78","16.381,03","16.397,28","16.129,03","","-1,11%"
"06/08/2024","16.316,28","16.215,53","16.464,28","16.176,53","","1,31%"
"05/08/2024","16.105,53","16.297,53","16.436,28","15.943,78","","-0,94%"
"02/08/2024","16.258,28","16.260,53","16.550,53","16.153,03","","0,75%"
"01/08/2024","16.136,78","16.589,53","16.669,28","16.112,53","","-1,59%"
"31/07/2024","16.398,03","16.095,53","16.769,78","16.090,53","","2,57%"
"30/07/2024","15.986,53","15.895,78","16.157,53","15.803,78","","0,97%"
"29/07/2024","15.832,53","15.866,53","15.949,03","15.721,78","","0,67%"
"26/07/2024","15.727,78","15.904,28","15.919,03","15.715,53","","0,05%"
"25/07/2024","15.719,28","15.691,78","15.950,78","15.594,53","","-0,34%"
"24/07/2024","15.772,78","16.061,53","16.061,53","15.771,28","","-1,33%"
"23/07/2024","15.984,78","16.127,28","16.168,53","15.984,78","","-0,81%"
"22/07/2024","16.115,03","16.232,78","16.274,53","16.073,03","","-0,38%"
"19/07/2024","16.176,28","16.392,78","16.483,28","16.176,28","","-1,19%"
"18/07/2024","16.371,03","16.551,78","16.557,53","16.367,53","","-0,31%"
"17/07/2024","16.422,03","16.605,78","16.699,78","16.421,28","","-1,28%"
"16/07/2024","16.634,53","16.759,78","16.772,53","16.577,53","","-0,18%"
"15/07/2024","16.664,53","16.854,28","16.867,28","16.664,53","","-0,94%"
"12/07/2024","16.822,28","16.941,03","17.006,28","16.787,03","","0,31%"
"11/07/2024","16.769,53","16.877,28","17.249,03","16.769,53","","0,11%"
"10/07/2024","16.751,28","17.057,53","17.147,78","16.749,53","","-1,79%"
"09/07/2024","17.056,28","17.436,78","17.444,03","17.038,78","","-1,65%"
"08/07/2024","17.342,78","17.451,53","17.499,28","17.317,03","","0,40%"
"05/07/2024","17.273,53","17.322,53","17.574,28","17.273,53","","0,53%"
"04/07/2024","17.183,03","17.329,53","17.336,53","17.117,53","","-0,83%"
"03/07/2024","17.326,53","17.229,53","17.596,78","17.192,78","","2,17%"
"02/07/2024","16.958,53","17.471,28","17.575,28","16.955,03","","-2,23%"
"01/07/2024","17.346,03","17.314,03","17.473,28","17.269,53","","1,18%"
"28/06/2024","17.143,03","17.269,78","17.332,53","17.143,03","","-0,27%"
"27/06/2024","17.189,28","17.025,78","17.288,28","16.967,03","","1,00%"
"26/06/2024","17.019,28","17.354,53","17.367,53","17.019,28","","-0,62%"
"25/06/2024","17.125,78","17.297,53","17.317,53","17.058,28","","-0,10%"
"24/06/2024","17.142,53","17.182,28","17.412,53","17.118,78","","0,24%"
"21/06/2024","17.102,28","17.276,78","17.302,53","17.095,28","","-1,13%"
"20/06/2024","17.298,53","17.436,53","17.569,53","17.298,53","","0,29%"
"19/06/2024","17.247,78","17.329,78","17.462,53","17.242,78","","0,08%"
"18/06/2024","17.234,28","17.350,78","17.368,78","17.200,53","","-0,50%"
"17/06/2024","17.320,78","17.401,53","17.646,78","17.278,03","","-1,25%"
"14/06/2024","17.539,28","17.679,03","17.679,03","17.409,53","","-0,73%"
"13/06/2024","17.668,28","17.906,78","17.906,78","17.614,28","","-1,48%"
"12/06/2024","17.933,28","18.026,53","18.166,28","17.758,53","","-0,08%"
"11/06/2024","17.948,53","18.007,53","18.084,78","17.765,03","","-0,31%"
"10/06/2024","18.004,53","18.180,03","18.185,28","17.868,78","","-0,40%"
"07/06/2024","18.077,03","18.671,03","18.671,03","18.005,03","","-2,39%"
"06/06/2024","18.520,53","18.599,78","18.656,78","18.312,53","","0,10%"
"05/06/2024","18.502,78","18.791,78","18.798,28","18.253,53","","-1,49%"
"04/06/2024","18.783,53","19.499,53","19.536,03","18.783,53","","-3,17%"
"03/06/2024","19.398,53","19.710,78","19.710,78","19.262,28","","-0,73%"
"31/05/2024","19.541,53","20.210,78","20.328,28","19.541,53","","-2,38%"
"30/05/2024","20.017,28","20.171,78","20.238,53","19.947,53","","-1,98%"
"29/05/2024","20.420,78","20.692,53","20.755,03","20.340,78","","-0,16%"
"28/05/2024","20.453,53","20.454,78","20.574,78","20.306,78","","1,16%"
"24/05/2024","20.219,78","20.277,78","20.365,03","20.158,78","","0,70%"
"23/05/2024","20.080,03","20.117,03","20.346,03","19.870,53","","-1,39%"
"22/05/2024","20.363,78","21.238,78","21.249,28","20.309,28","","-3,84%"
"21/05/2024","21.176,28","21.371,28","21.697,28","21.117,78","","-0,63%"
"20/05/2024","21.310,53","21.520,03","21.744,03","21.115,53","","1,30%"
"17/05/2024","21.037,28","20.710,78","21.362,53","20.683,78","","5,42%"
"16/05/2024","19.955,78","19.581,03","20.146,78","19.474,03","","2,54%"
"15/05/2024","19.462,28","19.179,53","19.551,28","19.071,78","","2,68%"
"14/05/2024","18.953,53","19.256,03","19.342,53","18.953,53","","-0,62%"
"13/05/2024","19.071,03","18.992,78","19.263,53","18.957,53","","0,28%"
"10/05/2024","19.018,03","19.155,53","19.162,78","18.891,28","","0,07%"
"09/05/2024","19.005,28","18.875,53","19.091,78","18.669,78","","1,14%"
"08/05/2024","18.791,78","18.817,28","18.973,28","18.604,28","","-1,26%"
"07/05/2024","19.032,53","19.251,28","19.431,03","18.978,28","","-0,60%"
"03/05/2024","19.147,78","18.756,53","19.303,53","18.755,28","","2,49%"
"02/05/2024","18.682,03","18.804,53","18.938,78","18.547,03","","-0,78%"
"01/05/2024","18.829,03","19.189,28","19.235,78","18.705,03","","-1,71%"
"30/04/2024","19.156,28","19.234,28","19.307,28","19.055,28","","-0,16%"
"29/04/2024","19.187,28","19.242,03","19.413,78","19.094,53","","0,17%"
"26/04/2024","19.154,78","19.447,28","19.487,28","19.079,78","","0,37%"
"25/04/2024","19.084,53","18.986,78","19.204,78","18.897,28","","1,46%"
"24/04/2024","18.810,28","19.204,03","19.335,53","18.787,78","","-1,03%"
"23/04/2024","19.005,53","19.067,28","19.229,53","18.834,28","","-2,91%"
"22/04/2024","19.575,78","19.198,53","19.782,78","19.031,03","","1,07%"
"19/04/2024","19.368,53","18.451,28","19.497,53","18.451,28","","4,97%"
"18/04/2024","18.451,28","18.451,03","18.807,53","18.128,28","","2,16%"
"17/04/2024","18.061,28","17.953,78","18.282,28","17.863,28","","1,91%"
"16/04/2024","17.722,53","17.722,78","17.845,53","17.594,28","","-1,00%"
"15/04/2024","17.901,53","18.345,53","18.366,28","17.642,78","","1,30%"
"12/04/2024","17.672,53","17.931,78","18.147,53","17.632,78","","-0,07%"
"11/04/2024","17.685,78","18.318,78","18.360,53","17.560,03","","-4,05%"
"10/04/2024","18.432,53","18.276,78","18.903,28","18.132,53","","1,18%"
"09/04/2024","18.217,53","17.735,03","18.297,28","17.721,28","","2,61%"
"08/04/2024","17.754,78","17.660,03","17.935,03","17.646,78","","0,33%"
"05/04/2024","17.696,53","17.638,78","17.838,03","17.545,03","","0,57%"
"04/04/2024","17.596,53","17.378,78","17.743,53","17.308,53","","1,93%"
"03/04/2024","17.264,03","17.047,53","17.494,78","16.863,53","","1,67%"
"02/04/2024","16.980,03","16.955,78","17.237,03","16.870,03","","1,69%"
"28/03/2024","16.698,03","16.824,78","16.858,53","16.663,53","","0,34%"
"27/03/2024","16.641,78","16.628,28","16.658,78","16.553,53","","-0,25%"
"26/03/2024","16.683,53","16.904,28","16.904,28","16.636,53","","-1,76%"
"25/03/2024","16.982,53","17.228,78","17.241,78","16.888,03","","-1,17%"
"22/03/2024","17.183,78","17.366,53","17.463,78","17.163,78","","-1,94%"
"21/03/2024","17.523,03","17.644,28","17.661,03","17.466,78","","-0,19%"
"20/03/2024","17.555,53","17.504,78","17.592,53","17.367,28","","0,90%"
"19/03/2024","17.399,28","17.746,53","17.746,53","17.346,28","","-2,64%"
"18/03/2024","17.871,28","17.906,78","18.067,03","17.811,53","","-0,32%"
"15/03/2024","17.929,28","18.100,78","18.335,03","17.902,28","","-0,99%"
"14/03/2024","18.108,28","18.286,03","18.286,03","17.975,78","","-1,14%"
"13/03/2024","18.317,53","18.499,03","18.523,78","18.224,78","","-1,01%"
"12/03/2024","18.505,28","18.346,03","18.560,03","18.265,78","","0,95%"
"11/03/2024","18.331,78","17.977,03","18.475,53","17.921,78","","1,93%"
"08/03/2024","17.984,78","17.992,53","18.165,53","17.938,28","","0,84%"
"07/03/2024","17.835,53","17.732,53","17.998,53","17.732,53","","1,61%"
"06/03/2024","17.553,03","17.602,53","17.737,03","17.535,53","","-0,27%"
"05/03/2024","17.601,03","17.694,53","17.969,03","17.600,53","","-1,55%"
"04/03/2024","17.878,03","17.640,28","17.960,78","17.632,03","","0,91%"
"01/03/2024","17.716,53","17.620,03","17.779,78","17.217,03","","-0,60%"
"29/02/2024","17.823,78","17.652,03","17.940,78","17.612,53","","0,95%"
"28/02/2024","17.655,78","17.313,53","17.700,28","17.268,03","","0,95%"
"27/02/2024","17.488,78","17.274,53","17.533,28","17.241,53","","2,61%"
"26/02/2024","17.043,28","17.106,28","17.316,53","17.041,03","","-2,60%"
"23/02/2024","17.498,03","17.344,78","17.574,78","17.283,78","","0,88%"
"22/02/2024","17.344,78","16.997,28","17.431,78","16.964,53","","3,43%"
"21/02/2024","16.769,78","16.577,03","16.950,03","16.571,53","","2,18%"
"20/02/2024","16.411,53","16.285,28","16.550,03","16.223,03","","0,57%"
"19/02/2024","16.318,78","16.289,53","16.456,03","16.195,53","","-0,01%"
"16/02/2024","16.320,03","16.325,53","16.452,78","16.251,53","","0,88%"
"15/02/2024","16.177,78","16.415,28","16.570,53","16.172,03","","-0,58%"
"14/02/2024","16.272,53","16.257,28","16.533,28","16.209,53","","0,31%"
"13/02/2024","16.222,53","16.038,28","16.284,53","16.038,28","","1,34%"
"12/02/2024","16.008,78","15.959,78","16.057,78","15.914,78","","0,82%"
"09/02/2024","15.878,53","16.086,78","16.118,53","15.850,78","","-1,12%"
"08/02/2024","16.059,03","16.094,28","16.154,53","15.893,78","","0,87%"
"07/02/2024","15.920,53","15.846,03","16.035,78","15.838,78","","0,44%"
"06/02/2024","15.850,78","16.007,03","16.007,03","15.845,78","","-0,21%"
"05/02/2024","15.884,53","16.114,78","16.184,28","15.869,78","","-1,87%"
"02/02/2024","16.187,78","16.252,03","16.427,03","16.183,28","","-0,02%"
"01/02/2024","16.190,53","16.149,78","16.343,78","16.067,28","","-0,15%"
"31/01/2024","16.215,53","16.437,53","16.470,53","16.204,53","","-1,49%"
"30/01/2024","16.461,53","16.369,78","16.537,03","16.266,03","","0,33%"
"29/01/2024","16.408,03","16.548,03","16.627,28","16.354,03","","-0,82%"
"26/01/2024","16.543,78","16.724,53","16.797,53","16.537,53","","-1,04%"
"25/01/2024","16.718,28","16.502,78","16.776,28","16.501,53","","0,54%"
"24/01/2024","16.629,03","16.360,78","16.683,53","16.270,28","","2,39%"
"23/01/2024","16.241,28","16.283,03","16.372,03","16.147,03","","1,68%"
"22/01/2024","15.973,53","16.023,28","16.087,53","15.916,53","","-0,15%"
"19/01/2024","15.997,28","16.246,28","16.341,78","15.996,03","","-0,70%"
"18/01/2024","16.109,28","16.210,03","16.218,28","16.053,03","","0,40%"
"17/01/2024","16.045,03","16.117,03","16.210,03","15.995,78","","-0,81%"
"16/01/2024","16.175,28","16.125,78","16.259,53","16.101,53","","0,37%"
